<<<<<<< HEAD
id;libelle;Ordre;deleted;mode_passation_id;created_by;created_date;last_modified_by;last_modified_date
1;Initiation et élaboration du DAOO ou du DAOA;1;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
2;Transmission du DAOO ou du DADA et de l'autorisation à la DG-CMEF;2;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
3;Traitement et publication du DAOO ou du DAOA par DC-CMEF;3;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
4;Réception des offres par la PRIV;4;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
5;Convocation des membres de la CAM;5;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
6;Commission de sélection;6;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
7;Désignation des membres de la sous- commission technique (SCT) sur initiative de la PRM;7;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
8;Ouverture des offres et mise en place de la SCT;8;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
9;Ouverture des offres et mise en place de la SCT;9;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
10;Transmission du procès-verbal d'ouverture des plis à la DG-CMEF;10;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
11;Transmission à la SCT du PV d'ouverture des offres accompagné de l'offre de chaque soumissionnaire;11;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
12;Délais d'évaluation des offres par la SCT;12;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
13;Transmission du PV à la CAM par la SCT;13;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
14;Délais de convocation des membres de la CAM;14;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
15;Proposition d’aïtribution provisoire par la CAM (réunion de la CAM pour la délibération);15;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
16;Approbation des travaux de la CAM par l'autorité compétente;16;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
17;Transmission des résultats de la CAM;17;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
18;Avis sur les résultats de la CAM et publication par la DG-CMEF;18;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
19;Délais accordés aux candidats, soumissionnaires pour exercer des recours préalable.;19;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
20;Délai accordé à 1 autorité contractante pour répondre;20;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
21;Délais accordes	aux candidats soumissionnaires, pour exercer des recours devant 1' ORD;21;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
22; Délais	accordés à l’ORD pour	le traitement de la plainte et la tenue de l'audience;22;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
23;Délai accordé aux parties pour la demande de retrait de la décision de l’ORD;23;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
24; Délai accordé à l’ORD pour le réexamen du différend;24;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
25;Transmission avant publication	des résultats à la DGCOOP, le cas échéant;25;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
26; Délai pour l'obtention de l'avis de non objection du ou des partenaires;26;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
27;Transmission à la PRM de l'avis du partenaire techm que et financier par la DGCOOP;27;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
28;Préparation et transmission du projet de rapport en Conseil des Ministres pour les marchés dont le montant est égal ou supérieur au seuil requis à lasignature de l'autorité compétente;28;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
29;Signature du rapport en Conseil des ministres et transmission pour programmation pour les marchés dont le montant est égal ou supérieur au seuil requis;29;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
30;Notification de l'attribution du marché au soumissionnaire retenu;30;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
31;Elaboration du projet de contrat et sa transmission au titulaire pour signature;31;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
32;Signature et retour du projet de contrat par le titulaire du marché;32;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
33;Transmission du projet de contrat par le gestionnaire cl.e crédits à DG-CMEF;33;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
34;Visa de DG-CMEF et retour du dossier au gestionnaire de crédits;34;f;1;admin;2020-04-24 23:33:59.612;admin;2020-04-24 23:33:59.612
