id;code_ligne_plan;gestionnaire_credit;etat_marche;deleted;reported;passation_id;nature_prestation_id;created_by;created_date;last_modified_by;last_modified_date
2;alarm Extension eco-centric;Unbranded;;false;false;2;14;2020/06/01;2020/06/01;2020/06/01;2020/06/01
3;Investment Account customized value-added;dot-com bandwidth Automotive;;false;false;7;4;2020/06/01;2020/06/01;2020/06/01;2020/06/01
4;USB;parsing Concrete indigo;;false;false;5;1;2020/06/01;2020/06/01;2020/06/01;2020/06/01
5;Bedfordshire;Identity;;false;false;1;10;2020/06/01;2020/06/01;2020/06/01;2020/06/01
6;Money Market Account;Granite;;true;false;4;9;2020/06/01;2020/06/01;2020/06/01;2020/06/01
7;Lake;interface;;true;false;3;1;2020/06/01;2020/06/01;2020/06/01;2020/06/01
8;Metal;Anguilla District Maryland;;false;false;6;2;2020/06/01;2020/06/01;2020/06/01;2020/06/01
9;Unbranded Fresh Chair;convergence;;true;false;6;11;2020/06/01;2020/06/01;2020/06/01;2020/06/01
10;Auto Loan Account technologies azure;Metrics;;false;false;1;7;2020/06/01;2020/06/01;2020/06/01;2020/06/01
11;Developer circuit;attitude tan architectures;;false;false;7;3;2020/06/01;2020/06/01;2020/06/01;2020/06/01
