id;budget;ligne_credit;aecp;montant_estime;deleted
1;Utah Stand-alone;payment;CP;49994;true
2;SCSI Cotton;Berkshire conglomeration;AE;80148;false
3;invoice online;Handmade Fresh Sausages withdrawal Fresh;CP;89106;false
4;deposit leading-edge invoice;Credit Card Account streamline Kuwait;CP;40799;false
5;Riel relationships Awesome Rubber Salad;Technician Drive capability;AE;24080;true
6;Ergonomic Summit auxiliary;engage Lempira;AE;98348;false
7;violet payment;Engineer digital;CP;92242;false
8;Money Market Account;mobile Jersey;CP;6152;true
9;matrix Tasty;Berkshire Washington;CP;31084;true
10;Front-line;Savings Account;CP;3970;false
