id;code;libelle;deleted
1;Representative Lakes;Zimbabwe Dollar Analyst Corporate;true
2;sensor;navigate;true
3;Platinum Tasty bi-directional;backing up communities Berkshire;true
4;Licensed Syrian Pound PCI;Division grey;false
5;Concrete payment;Computer Sleek Granite Chips Internal;true
6;Chips Port;Chair architecture;true
7;Lari;reintermediate Automotive Checking Account;true
8;process improvement;Jewelery UIC-Franc redundant;false
9;SMTP;frame Berkshire calculating;true
10;Home Loan Account;Industrial Shoes tan;true
