id;libelle_ppm;reference_plan;valid;deleted
1;port;teal;false;true
2;Metal;Fresh;true;true
3;Hat disintermediate Administrator;Rustic Concrete Fish Fish;true;false
4;Data wireless;compressing;true;false
5;content bi-directional;function backing up;true;true
6;Sao Tome and Principe Georgia;backing up monitoring Practical Rubber Pants;false;false
7;Indian Rupee Ngultrum;Soap Savings Account;false;true
8;Table;hacking Mauritius Accountability;false;true
9;Planner;Tools;true;false
10;generating Group;Berkshire Borders;false;true
