id;montant_depense_engage_non_liquide;credit_disponible;periode_lancement_appel;periode_remise_offre;temps_necessaire_evaluation_offre;date_problable_demarage_prestation;delai_execution_prevu;date_buttoire;deleted
1;67158;20467;2020-04-24;2020-04-24;52972;2020-04-24;26606;2020-04-24;true
2;86157;57106;2020-04-23;2020-04-24;31435;2020-04-24;58189;2020-04-24;false
3;73430;15728;2020-04-24;2020-04-23;17362;2020-04-24;16365;2020-04-23;false
4;86115;67902;2020-04-24;2020-04-24;21439;2020-04-24;82053;2020-04-23;true
5;15201;17753;2020-04-24;2020-04-24;3610;2020-04-23;4618;2020-04-24;true
6;6842;92676;2020-04-24;2020-04-24;95330;2020-04-23;21568;2020-04-24;true
7;11739;26601;2020-04-24;2020-04-24;83114;2020-04-24;88101;2020-04-24;false
8;32184;4442;2020-04-23;2020-04-24;10632;2020-04-24;43533;2020-04-24;false
9;85082;9998;2020-04-24;2020-04-24;84712;2020-04-24;2997;2020-04-23;false
10;8901;12619;2020-04-24;2020-04-24;89767;2020-04-24;25728;2020-04-24;true
