id;norme;referentiel;norme_min;referentiel_min;norme_max;referentiel_max;observation;norme_ouvrable;referentiel_ouvrable;deleted
1;9952;59178;24285;35036;56823;56384;Gloves zero tolerance;true;true;false
2;69964;74928;68113;49757;92834;89734;Small JBOD Tasty Concrete Tuna;true;true;false
3;96648;13041;60834;71268;17735;49377;Research Central;true;false;true
4;43024;76547;70357;78824;42235;31236;Configuration haptic;false;false;true
5;2524;28183;12404;32010;51456;32127;Analyst enhance;false;false;true
6;69244;94269;26930;2645;38461;79631;Tactics;false;true;false
7;54911;64764;25432;31975;11107;68625;Home Loan Account Liaison background;true;false;false
8;17206;45304;53023;12893;72891;40316;Handmade Greens turn-key;true;false;false
9;12779;4308;46622;97311;30181;97631;collaboration navigate;false;false;false
10;15464;88958;29790;50111;91974;14916;protocol;true;false;false
