id;code;libelle;code_pays;description;type;deleted
1;3rd generation optical Convertible Marks;harness connecting;schemas;parsing Pass;BILATERAL;true
2;mobile;revolutionize Directives;compressing;Concrete Locks;MULTILATERAL;false
3;Incredible Concrete Pants redundant;withdrawal Gorgeous Steel Car;Face to face regional;Table Identity;MULTILATERAL;false
4;methodologies cultivate;redundant;Auto Loan Account Salad;strategy Garden;INTERIEUR;false
5;fuchsia;Metal;synergize Frozen;e-business plug-and-play card;MULTILATERAL;false
6;Operations Avon;Lead transmit help-desk;virtual;web-readiness multi-byte;INTERIEUR;false
7;Zambia invoice Refined;calculating Buckinghamshire;grey withdrawal;Gloves Reverse-engineered visualize;INTERIEUR;false
8;Cambridgeshire program;reboot Towels out-of-the-box;cutting-edge;parse;BILATERAL;false
9;Home Loan Account;compress Burgs bluetooth;Table;Fantastic Granite Pants Internal deposit;INTERIEUR;false
10;Yemeni Rial Metal task-force;tan;purple iterate;Nepalese Rupee;BILATERAL;false
