id;libelle;abbreviation;adresse;contact;identite_responsable;deleted
1;Forward Investor Rubber;Dominica;Swedish Krona;Investment Account engineer;Industrial;false
2;throughput Rial Omani;Hawaii SQL Awesome Fresh Pizza;invoice bypass;Cove alarm;Plastic;false
3;experiences Steel Money Market Account;Computers;Bedfordshire generate multi-state;payment North Dakota technologies;Fresh Investment Account Cambridgeshire;true
4;SCSI program Steel;Fresh;Technician disintermediate Pennsylvania;GB analyzer SQL;Progressive Tunnel Mill;false
5;primary copy Money Market Account;card;Lempira;Ohio;Tasty Granite Chair definition;false
6;Awesome platforms International;Streamlined AGP;open system withdrawal;SQL Wisconsin web services;Reverse-engineered;true
7;withdrawal Hat Cambridgeshire;1080p Small Cotton Chips;bypass International pink;AGP maximize Roads;process improvement orchid;true
8;Customer transitional;workforce Books;IB Orchestrator;Sausages real-time;Refined monitor application;true
9;Corner;overriding;Cambridgeshire bypass;Money Market Account;IB deposit;false
10;Forks Savings Account;orchestrate;South Carolina reboot;e-enable;user-centric AGP;true
